User_ID,Recipe_ID,User_Rating
U001,R010,4
U001,R012,3
U001,R001,4
U001,R014,3
U001,R006,4
U001,R009,3
U001,R214,3
U001,R047,1
U001,R132,3
U001,R046,1
U001,R180,2
U002,R047,5
U002,R050,4
U002,R057,4
U002,R051,3
U002,R053,3
U002,R056,4
U002,R176,3
U002,R141,3
U002,R215,4
U002,R231,1
U002,R242,2
U003,R091,4
U003,R096,5
U003,R089,4
U003,R099,4
U003,R093,4
U003,R095,3
U003,R053,3
U003,R015,4
U003,R214,3
U003,R120,2
U003,R192,1
U004,R131,4
U004,R134,3
U004,R141,4
U004,R132,4
U004,R130,3
U004,R139,3
U004,R004,2
U004,R051,2
U004,R177,1
U004,R100,1
U004,R227,1
U005,R170,3
U005,R175,5
U005,R171,5
U005,R177,3
U005,R172,4
U005,R179,4
U005,R139,2
U005,R047,2
U005,R099,1
U005,R028,1
U005,R018,2
U006,R217,3
U006,R219,4
U006,R216,4
U006,R213,4
U006,R209,2
U006,R214,3
U006,R011,2
U006,R004,2
U006,R051,3
U006,R200,1
U006,R105,1
U007,R021,3
U007,R018,3
U007,R025,3
U007,R020,3
U007,R019,3
U007,R017,4
U007,R103,1
U007,R063,2
U007,R187,4
U007,R055,1
U007,R001,2
U008,R068,2
U008,R067,1
U008,R069,4
U008,R065,3
U008,R070,3
U008,R064,3
U008,R149,2
U008,R022,3
U008,R105,2
U008,R192,1
U008,R036,2
U009,R102,3
U009,R111,4
U009,R101,4
U009,R100,4
U009,R103,4
U009,R107,5
U009,R027,1
U009,R186,5
U009,R191,2
U009,R244,1
U009,R041,2
U010,R144,3
U010,R143,4
U010,R149,4
U010,R147,4
U010,R150,4
U010,R146,5
U010,R189,1
U010,R223,2
U010,R224,2
U010,R091,3
U010,R196,1
U011,R183,4
U011,R180,3
U011,R188,4
U011,R190,3
U011,R186,5
U011,R191,4
U011,R067,3
U011,R023,4
U011,R018,5
U011,R086,2
U011,R130,1
U012,R230,4
U012,R220,3
U012,R228,3
U012,R229,4
U012,R227,4
U012,R224,3
U012,R180,2
U012,R022,3
U012,R025,3
U012,R212,2
U012,R073,1
U013,R029,4
U013,R034,4
U013,R028,3
U013,R036,4
U013,R031,2
U013,R032,2
U013,R072,5
U013,R196,4
U013,R074,3
U013,R135,1
U013,R045,2
U014,R077,3
U014,R078,4
U014,R072,3
U014,R075,2
U014,R073,3
U014,R071,5
U014,R193,1
U014,R232,2
U014,R235,3
U014,R067,2
U014,R049,2
U015,R116,4
U015,R117,4
U015,R115,3
U015,R113,3
U015,R114,4
U015,R118,3
U015,R197,3
U015,R155,3
U015,R194,2
U015,R108,1
U015,R240,1
U016,R154,4
U016,R153,5
U016,R158,4
U016,R159,3
U016,R155,3
U016,R157,4
U016,R198,3
U016,R077,2
U016,R074,3
U016,R051,2
U016,R211,3
U017,R196,3
U017,R192,3
U017,R195,4
U017,R194,5
U017,R193,4
U017,R198,3
U017,R032,4
U017,R112,3
U017,R157,3
U017,R141,1
U017,R010,1
U018,R232,3
U018,R235,4
U018,R236,4
U018,R233,2
U018,R234,5
U018,R237,5
U018,R073,1
U018,R033,3
U018,R029,3
U018,R052,1
U018,R170,3
U019,R040,4
U019,R037,4
U019,R041,5
U019,R038,5
